2-theta,Intensity
 12.57000,0.00229
 12.58000,0.00228
 12.59000,0.00228
 12.60000,0.00228
 12.61000,0.00228
 12.62000,0.00228
 12.63000,0.00228
 12.64000,0.00228
 12.65000,0.00228
 12.66000,0.00228
 12.67000,0.00228
 12.68000,0.00228
 12.69000,0.00227
 12.70000,0.00227
 12.71000,0.00227
 12.72000,0.00227
 12.73000,0.00227
 12.74000,0.00227
 12.75000,0.00227
 12.76000,0.00227
 12.77000,0.00227
 12.78000,0.00227
 12.79000,0.00227
 12.80000,0.00227
 12.81000,0.00226
 12.82000,0.00226
 12.83000,0.00226
 12.84000,0.00226
 12.85000,0.00226
 12.86000,0.00226
 12.87000,0.00226
 12.88000,0.00226
 12.89000,0.00226
 12.90000,0.00226
 12.91000,0.00226
 12.92000,0.00226
 12.93000,0.00226
 12.94000,0.00225
 12.95000,0.00225
 12.96000,0.00225
 12.97000,0.00225
 12.98000,0.00225
 12.99000,0.00225
 13.00000,0.00225
 13.01000,0.00225
 13.02000,0.00225
 13.03000,0.00225
 13.04000,0.00225
 13.05000,0.00225
 13.06000,0.00225
 13.07000,0.00225
 13.08000,0.00225
 13.09000,0.00224
 13.10000,0.00224
 13.11000,0.00224
 13.12000,0.00224
 13.13000,0.00224
 13.14000,0.00224
 13.15000,0.00224
 13.16000,0.00224
 13.17000,0.00224
 13.18000,0.00224
 13.19000,0.00224
 13.20000,0.00224
 13.21000,0.00224
 13.22000,0.00224
 13.23000,0.00224
 13.24000,0.00224
 13.25000,0.00223
 13.26000,0.00223
 13.27000,0.00223
 13.28000,0.00223
 13.29000,0.00223
 13.30000,0.00223
 13.31000,0.00223
 13.32000,0.00223
 13.33000,0.00223
 13.34000,0.00223
 13.35000,0.00223
 13.36000,0.00223
 13.37000,0.00223
 13.38000,0.00223
 13.39000,0.00223
 13.40000,0.00223
 13.41000,0.00223
 13.42000,0.00223
 13.43000,0.00223
 13.44000,0.00222
 13.45000,0.00222
 13.46000,0.00222
 13.47000,0.00222
 13.48000,0.00222
 13.49000,0.00222
 13.50000,0.00222
 13.51000,0.00222
 13.52000,0.00222
 13.53000,0.00222
 13.54000,0.00222
 13.55000,0.00222
 13.56000,0.00222
 13.57000,0.00222
 13.58000,0.00222
 13.59000,0.00222
 13.60000,0.00222
 13.61000,0.00222
 13.62000,0.00222
 13.63000,0.00222
 13.64000,0.00222
 13.65000,0.00222
 13.66000,0.00222
 13.67000,0.00222
 13.68000,0.00222
 13.69000,0.00221
 13.70000,0.00221
 13.71000,0.00221
 13.72000,0.00221
 13.73000,0.00221
 13.74000,0.00221
 13.75000,0.00221
 13.76000,0.00221
 13.77000,0.00221
 13.78000,0.00221
 13.79000,0.00221
 13.80000,0.00221
 13.81000,0.00221
 13.82000,0.00221
 13.83000,0.00221
 13.84000,0.00221
 13.85000,0.00221
 13.86000,0.00221
 13.87000,0.00221
 13.88000,0.00221
 13.89000,0.00221
 13.90000,0.00221
 13.91000,0.00221
 13.92000,0.00221
 13.93000,0.00221
 13.94000,0.00221
 13.95000,0.00221
 13.96000,0.00221
 13.97000,0.00221
 13.98000,0.00221
 13.99000,0.00221
 14.00000,0.00221
 14.01000,0.00221
 14.02000,0.00221
 14.03000,0.00221
 14.04000,0.00221
 14.05000,0.00221
 14.06000,0.00221
 14.07000,0.00221
 14.08000,0.00221
 14.09000,0.00221
 14.10000,0.00221
 14.11000,0.00221
 14.12000,0.00221
 14.13000,0.00221
 14.14000,0.00220
 14.15000,0.00220
 14.16000,0.00220
 14.17000,0.00220
 14.18000,0.00220
 14.19000,0.00220
 14.20000,0.00220
 14.21000,0.00220
 14.22000,0.00220
 14.23000,0.00220
 14.24000,0.00220
 14.25000,0.00220
 14.26000,0.00220
 14.27000,0.00220
 14.28000,0.00220
 14.29000,0.00220
 14.30000,0.00220
 14.31000,0.00220
 14.32000,0.00220
 14.33000,0.00220
 14.34000,0.00220
 14.35000,0.00220
 14.36000,0.00220
 14.37000,0.00220
 14.38000,0.00220
 14.39000,0.00220
 14.40000,0.00220
 14.41000,0.00220
 14.42000,0.00220
 14.43000,0.00220
 14.44000,0.00220
 14.45000,0.00220
 14.46000,0.00220
 14.47000,0.00220
 14.48000,0.00220
